instrument,Date,time,CLOSE,HIGH,LOW,OPEN,VOLUME
NIFTY,20160519,11:19,7845.55,7846.65,7845.15,7846.65,11025,0
NIFTY,20160519,11:20,7846.75,7847.85,7846.75,7847.10,13425,0
NIFTY,20160519,11:21,7847.20,7847.75,7845.70,7847.15,5775,0
NIFTY,20160519,11:22,7847.20,7847.35,7846.55,7847.35,7875,0
NIFTY,20160519,11:23,7846.80,7847.15,7845.95,7846.00,3375,0
NIFTY,20160519,11:24,7845.80,7846.65,7845.50,7846.50,5550,0
NIFTY,20160519,11:25,7846.55,7847.95,7846.15,7847.00,6000,0
NIFTY,20160519,11:26,7847.05,7847.25,7844.50,7844.55,8550,0
NIFTY,20160519,11:27,7844.85,7846.25,7844.85,7845.70,6825,0
NIFTY,20160519,11:28,7846.00,7847.00,7845.15,7845.45,7425,0
NIFTY,20160519,11:29,7845.50,7848.30,7845.05,7848.10,7425,0
NIFTY,20160519,11:30,7848.30,7849.20,7847.05,7847.85,7200,0
NIFTY,20160519,11:31,7847.75,7847.75,7846.05,7847.30,9825,0
NIFTY,20160519,11:32,7847.05,7847.30,7845.30,7845.30,8325,0
NIFTY,20160519,11:33,7845.45,7846.25,7844.75,7845.85,9375,0
NIFTY,20160519,11:34,7845.75,7847.45,7845.45,7847.05,2625,0
NIFTY,20160519,11:35,7846.90,7848.25,7846.65,7848.25,2850,0
NIFTY,20160519,11:36,7848.45,7852.55,7848.25,7851.10,23325,0
NIFTY,20160519,11:37,7851.20,7851.35,7849.70,7850.70,5025,0
NIFTY,20160519,11:38,7850.60,7850.95,7848.65,7849.30,5550,0
NIFTY,20160519,11:39,7848.90,7849.90,7848.10,7849.90,6600,0
NIFTY,20160519,11:40,7849.80,7850.05,7848.10,7849.10,6675,0
NIFTY,20160519,11:41,7849.15,7849.45,7848.45,7848.85,3675,0
NIFTY,20160519,11:42,7848.70,7849.55,7848.55,7849.20,12825,0
NIFTY,20160519,11:43,7849.25,7849.90,7848.60,7849.20,7425,0
NIFTY,20160519,11:44,7849.00,7849.45,7848.20,7848.60,12150,0
NIFTY,20160519,11:45,7848.90,7849.15,7847.40,7848.85,8475,0
NIFTY,20160519,11:46,7848.75,7848.75,7847.05,7847.65,7650,0
NIFTY,20160519,11:47,7847.50,7848.15,7846.80,7848.10,18675,0
NIFTY,20160519,11:48,7848.20,7848.50,7847.35,7847.65,4275,0
NIFTY,20160519,11:49,7847.95,7848.55,7847.55,7848.25,3975,0
NIFTY,20160519,11:50,7848.20,7848.85,7847.65,7848.55,3750,0
NIFTY,20160519,11:51,7848.50,7849.20,7847.90,7848.60,1725,0
NIFTY,20160519,11:52,7848.45,7848.50,7847.35,7847.40,3525,0
