Script, DateTime, Open, High, Low, Close, Volume, WAP, Count 
KSCL, 20150713, 739.4, 742.3, 718.85, 731.85, 76325, 734.0075, 4644 
KSCL, 20150714, 736.0, 736.9, 724.85, 730.35, 37130, 730.74, 3449 
KSCL, 20150715, 736.1, 773.9, 735.0, 758.4, 162411, 757.3575, 5760 
KSCL, 20150716, 768.4, 777.15, 760.15, 763.6, 117479, 768.66, 5168 
KSCL, 20150717, 767.0, 773.75, 754.0, 759.15, 60913, 760.5325, 1990 
KSCL, 20150720, 764.95, 766.7, 758.0, 761.1, 34522, 762.1775, 1509 
KSCL, 20150721, 765.0, 782.0, 746.9, 751.8, 78081, 771.0625, 3104 
KSCL, 20150722, 758.45, 765.55, 751.2, 757.65, 62665, 758.93, 2032 
KSCL, 20150723, 761.95, 764.8, 750.25, 752.1, 81268, 757.7025, 1275 
KSCL, 20150724, 750.3, 763.05, 746.0, 748.95, 51262, 754.625, 1894 
KSCL, 20150727, 750.05, 750.05, 714.5, 721.0, 41325, 732.13, 2248 
KSCL, 20150728, 720.95, 735.0, 707.05, 717.5, 115655, 722.2075, 3573 
KSCL, 20150729, 719.95, 735.0, 714.05, 725.7, 48940, 727.7525, 1746 
KSCL, 20150730, 730.0, 740.7, 727.0, 732.15, 65867, 735.1275, 3548 
KSCL, 20150731, 734.1, 751.0, 734.1, 744.8, 49892, 742.9075, 3357 
KSCL, 20150803, 745.05, 759.8, 741.7, 748.5, 30854, 752.2875, 1795 
KSCL, 20150804, 754.95, 756.4, 732.55, 735.45, 40508, 739.1125, 1544 
KSCL, 20150805, 737.9, 755.0, 733.25, 744.95, 70910, 746.1325, 2451 
KSCL, 20150806, 748.95, 748.95, 736.0, 737.15, 35879, 739.92, 1719 
KSCL, 20150807, 737.2, 765.85, 730.1, 754.9, 99571, 753.155, 3009 
KSCL, 20150810, 760.0, 770.0, 737.0, 741.05, 77839, 754.14, 3193 
KSCL, 20150811, 746.95, 746.95, 717.2, 720.2, 65286, 727.7225, 3566 
KSCL, 20150812, 717.0, 721.6, 642.7, 668.8, 132120, 682.2425, 6306 
KSCL, 20150813, 674.1, 703.0, 617.1, 629.25, 212472, 658.7775, 8546 
KSCL, 20150814, 625.05, 647.75, 587.5, 597.1, 204985, 619.51, 10051 
KSCL, 20150817, 593.2, 594.55, 484.4, 497.45, 483229, 525.72, 17636 
KSCL, 20150818, 512.0, 544.7, 508.0, 524.35, 359501, 528.5625, 10735 
